Feature_Set,Classifier,F1_Score_Macro
Edge + DarkChannel + LBP + HOG + SpatialFreq + DL_ResNet + DL_EfficientNet,RandomForest,0.9613807923118994
Contrast + DarkChannel + LBP + HOG + SpatialFreq + DL_ResNet + DL_EfficientNet,RandomForest,0.9613807923118994
Contrast + Edge + LBP + HOG + SpatialFreq + DL_ResNet + DL_EfficientNet,RandomForest,0.9613807923118994
Contrast + Edge + DarkChannel + HOG + SpatialFreq + SpatialFreq_mRMR,RandomForest,0.9613766309382736
Contrast + Edge + DarkChannel + LBP + HOG + SpatialFreq + DL_Inception + DL_ResNet + DL_EfficientNet,RandomForest,0.9613756008937282
HOG + SpatialFreq + DL_Inception + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.9613749180898591
Contrast + Edge + HOG + DL_Inception + DL_ResNet + DL_EfficientNet,RandomForest,0.9613741052483016
Contrast + Edge + LBP + HOG + DL_Inception + DL_ResNet,RandomForest,0.961373948639524
Contrast + DarkChannel + LBP + HOG + DL_Inception + DL_ResNet,RandomForest,0.961373948639524
DarkChannel + LBP + HOG + SpatialFreq + DL_Inception + DL_ResNet + DL_EfficientNet,RandomForest,0.9613723259401714
Contrast + LBP + HOG + SpatialFreq + DL_Inception + DL_ResNet + DL_EfficientNet,RandomForest,0.9613723259401714
Edge + LBP + HOG + SpatialFreq + DL_Inception + DL_ResNet + DL_EfficientNet,RandomForest,0.9613723259401714
Edge + HOG + SpatialFreq + DL_Inception + DL_ResNet + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.9613719008386539
Edge + HOG + DL_Inception + DL_ResNet + DL_EfficientNet,RandomForest,0.9613706123126393
DarkChannel + HOG + DL_Inception + DL_ResNet + DL_EfficientNet,RandomForest,0.9613706123126393
Contrast + HOG + DL_Inception + DL_ResNet + DL_EfficientNet,RandomForest,0.9613706123126393
LBP + HOG + SpatialFreq_mRMR,RandomForest,0.96136942342435
Edge + LBP + HOG + SpatialFreq + DL_EfficientNet,RandomForest,0.961365246750342
Contrast + LBP + HOG + SpatialFreq + DL_EfficientNet,RandomForest,0.961365246750342
DarkChannel + LBP + HOG + SpatialFreq + DL_EfficientNet,RandomForest,0.961365246750342
Contrast + DarkChannel + HOG + SpatialFreq + DL_Inception + DL_ResNet + DL_EfficientNet,RandomForest,0.9613611491296348
Edge + DarkChannel + HOG + SpatialFreq + DL_Inception + DL_ResNet + DL_EfficientNet,RandomForest,0.9613611491296348
Contrast + Edge + HOG + SpatialFreq + DL_Inception + DL_ResNet + DL_EfficientNet,RandomForest,0.9613611491296348
Contrast + LBP + HOG + DL_ResNet + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.9613581906817302
DarkChannel + LBP + HOG + DL_ResNet + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.9613581906817302
Edge + LBP + HOG + DL_ResNet + DL_EfficientNet + SpatialFreq_mRMR,RandomForest,0.9613581906817302
Contrast + Edge + DarkChannel + LBP + HOG,RandomForest,0.9613577607233215
HOG + SpatialFreq + DL_Inception,RandomForest,0.9613559336477214
Edge + DarkChannel + LBP + HOG + DL_Inception,RandomForest,0.9613534611480702
Contrast + Edge + LBP + HOG + DL_Inception,RandomForest,0.9613534611480702
Contrast + DarkChannel + LBP + HOG + DL_Inception,RandomForest,0.9613534611480702
Contrast + HOG + DL_ResNet,RandomForest,0.9613533178362192
Edge + LBP + HOG + SpatialFreq + DL_Inception + SpatialFreq_mRMR,RandomForest,0.9613523553465939
DarkChannel + LBP + HOG + SpatialFreq + DL_Inception + SpatialFreq_mRMR,RandomForest,0.9613523553465939
